Alpha Cognac,Roulet,Annette,61.77.6555,1 rue Alsace-Lorraine,,31000,25
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,10100,33
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,2060,4
Atelier graphique,Schmitt,Carine,40.32.2555,"54, rue Royale",,44000,21
"Australian Collectables, Ltd",Connery,Sean,61-9-3844-6555,7 Allen Street,,3150,2
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,3004,3
"Australian Gift Network, Co",Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End,,4101,5
Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",,78000,26
Auto Canal Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",,75016,22
Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,,58339,53
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,EC2 5NT,50
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,,4110,38
"Bavarian Collectables Imports, Co.",Donnermeyer,Michael,+49 89 61 08 9555,Hansastr. 15,,80686,29
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,60528,27
Boards & Toys Co.,Young,Leslie,3105552373,4097 Douglas Av.,,92561,59
CAF Imports,Fernandez,Jesus,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,28023,42
Cambridge Collectables Co.,Tseng,Kyung,6175555555,4658 Baden Av.,,51247,58
Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,,V3F 2K1,12
"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,,71270,68
Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,10022,66
